epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.001,1.79002,2.02935,1.7545,0.57115,0.51429,0.43705,0.09234,2.61427,2.34219,2.05796,0.0804571,0.000197403,0.000197403
2,532.474,1.68289,1.67218,1.68679,0.59623,0.67507,0.62476,0.23169,1.94828,1.94301,1.84721,0.0606561,0.000396325,0.000396325
3,795.459,1.63101,1.59496,1.68064,0.68248,0.72857,0.76109,0.31667,1.87969,1.68869,1.64294,0.0408507,0.000590941,0.000590941
4,1063.96,1.58446,1.44523,1.6333,0.76098,0.78571,0.78063,0.22199,2.41946,1.73526,1.8928,0.0210378,0.000778084,0.000778084
5,1328.63,1.6134,1.38623,1.64613,0.82101,0.64286,0.79137,0.3032,1.86085,1.74688,1.71882,0.00121446,0.000954719,0.000954719
6,1609.17,1.54304,1.31601,1.58983,0.74148,0.87143,0.77632,0.38698,1.61958,2.16465,1.57854,0.000933683,0.000933683,0.000933683
7,1880.33,1.54783,1.27687,1.59077,0.73467,0.77143,0.75875,0.34436,1.76101,1.34967,1.57896,0.000905463,0.000905463,0.000905463
8,2134.43,1.51818,1.24371,1.5665,0.72419,0.75714,0.66425,0.24754,2.06909,1.38915,1.7269,0.000872857,0.000872857,0.000872857
9,2391.14,1.5491,1.24465,1.57244,0.68659,0.7,0.61258,0.24168,2.05236,1.5977,1.88505,0.00083622,0.00083622,0.00083622
10,2640.61,1.49856,1.24651,1.54687,0.79799,0.78571,0.74979,0.3321,1.94752,1.65803,1.8533,0.000795954,0.000795954,0.000795954
11,2887.25,1.47031,1.23912,1.52084,0.67392,0.75714,0.62012,0.21658,1.99689,1.59855,1.75741,0.0007525,0.0007525,0.0007525
12,3137.32,1.46936,1.17928,1.50308,0.90896,0.85585,0.87155,0.43041,1.64385,1.20381,1.46077,0.000706335,0.000706335,0.000706335
13,3387.02,1.42069,1.16723,1.48531,0.78331,0.81429,0.80096,0.47711,1.4639,1.30462,1.55904,0.000657963,0.000657963,0.000657963
14,3677.18,1.38156,1.07614,1.4859,0.81164,0.86182,0.83814,0.48847,1.50487,1.08677,1.41791,0.000607916,0.000607916,0.000607916
15,3936.08,1.35891,1.05139,1.42658,0.89889,0.94286,0.89725,0.53679,1.35604,1.0271,1.37689,0.000556742,0.000556742,0.000556742
16,4197.67,1.34352,1.04562,1.44303,0.83194,0.91429,0.87777,0.47,1.44984,1.17127,1.38123,0.000505,0.000505,0.000505
17,4454.9,1.31808,1.05512,1.42236,0.85754,0.91429,0.90594,0.51522,1.40344,1.00461,1.39973,0.000453258,0.000453258,0.000453258
18,4723.16,1.32656,1.02143,1.42736,0.81594,0.9,0.86829,0.49252,1.50055,1.02315,1.43177,0.000402084,0.000402084,0.000402084
19,4984.84,1.30382,0.97938,1.40691,0.83475,0.93816,0.8858,0.51527,1.43199,1.01279,1.48002,0.000352037,0.000352037,0.000352037
20,5253.44,1.27661,0.96165,1.39367,0.88656,0.8932,0.896,0.53136,1.43128,0.95943,1.42303,0.000303665,0.000303665,0.000303665
21,5519.18,1.15923,0.86349,1.37326,0.88619,0.84286,0.86505,0.43426,1.58653,1.21703,1.46227,0.0002575,0.0002575,0.0002575
22,5799.52,1.13106,0.74091,1.32116,0.87448,0.94286,0.8968,0.60262,1.17522,0.95861,1.32219,0.000214046,0.000214046,0.000214046
23,6078.54,1.1046,0.71053,1.30429,0.85867,0.91429,0.85362,0.53525,1.35386,1.02537,1.356,0.00017378,0.00017378,0.00017378
