epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.852,2.02175,2.16754,1.87788,0.03226,0.01429,0.00499,0.00104,3.85977,208.76,9.74191,0.0707692,0.00324786,0.00324786
2,241.011,2.16062,2.20534,2.04055,0.00151,0.1,0.00081,0.0002,3.35651,1503.38,6.94851,0.0403349,0.00614684,0.00614684
3,355.598,2.13948,2.09664,2.03669,0.00147,0.08571,0.00062,0.00016,4.50862,441.813,6.90756,0.00946051,0.00860581,0.00860581
4,470.444,2.09087,1.99703,2.03179,0.00064,0.02857,0.00509,0.00119,4.64374,283.262,11.0031,0.00802,0.00802,0.00802
5,585.019,2.00468,1.8564,1.86217,0.07456,0.4,0.06192,0.01463,3.10105,5.32405,3.22718,0.00736,0.00736,0.00736
6,693.341,1.88853,1.78472,1.96238,0.32526,0.54286,0.23278,0.09075,2.1121,6.28585,2.51048,0.0067,0.0067,0.0067
7,806.94,1.85205,1.6593,1.93947,0.30263,0.7,0.2826,0.11876,1.8128,2.9726,1.85909,0.00604,0.00604,0.00604
8,921.642,1.72558,1.59127,1.83795,0.80651,0.58571,0.76397,0.44415,1.58725,2.12351,1.7046,0.00538,0.00538,0.00538
9,1033.03,1.67422,1.43626,1.7681,0.88603,0.64286,0.81153,0.36916,1.71956,1.59777,1.68699,0.00472,0.00472,0.00472
10,1145.97,1.56597,1.36827,1.66731,0.90584,0.5,0.69379,0.43015,1.47819,1.76825,1.61057,0.00406,0.00406,0.00406
11,1258.17,1.54902,1.28765,1.65689,0.63953,0.61429,0.69087,0.40888,1.51501,1.72377,1.63303,0.0034,0.0034,0.0034
12,1365.94,1.49166,1.25042,1.60544,0.66766,0.78571,0.79524,0.43293,1.48963,1.4793,1.603,0.00274,0.00274,0.00274
13,1476.91,1.46552,1.1989,1.57953,0.75278,0.8265,0.86396,0.48351,1.54459,1.29758,1.5794,0.00208,0.00208,0.00208
14,1589.8,1.41467,1.13426,1.54588,0.84399,0.84286,0.86929,0.5145,1.43626,1.27268,1.51581,0.00142,0.00142,0.00142
15,1701.24,1.34216,1.12339,1.50764,0.84387,0.84938,0.8875,0.55585,1.3377,1.23103,1.48396,0.00076,0.00076,0.00076
