epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.678,0.66011,1.73636,0.93692,0.98253,0.75,0.91346,0.73804,0.70678,2.46859,0.80042,0.000656566,0.000656566,0.000656566
2,814.102,0.60214,1.04576,0.90059,0.97772,0.87763,0.91879,0.77529,0.65188,1.88725,0.86454,0.00129703,0.00129703,0.00129703
3,1335.54,0.62664,0.86516,0.90393,0.96311,0.98,0.98785,0.83863,0.6148,2.02523,0.78579,0.0019111,0.0019111,0.0019111
4,1724.75,0.5979,0.71575,0.8982,0.98575,1,0.9945,0.85265,0.59637,0.83481,0.83792,0.0018812,0.0018812,0.0018812
5,3637.97,0.5699,0.62124,0.89741,0.95089,0.96813,0.97078,0.84087,0.58145,0.72131,0.79739,0.0018416,0.0018416,0.0018416
6,4097.58,0.53153,0.54522,0.88059,0.97005,1,0.99258,0.91782,0.47228,0.5065,0.74581,0.001802,0.001802,0.001802
7,4549.7,0.48726,0.4902,0.87465,0.95933,0.99,0.99333,0.91865,0.43149,0.47672,0.74345,0.0017624,0.0017624,0.0017624
8,4995.16,0.50194,0.47752,0.8787,0.99895,1,0.995,0.94137,0.3795,0.44954,0.72684,0.0017228,0.0017228,0.0017228
9,6055.87,0.47,0.43849,0.86692,0.96972,0.98,0.99367,0.91264,0.3929,0.42236,0.73363,0.0016832,0.0016832,0.0016832
10,6471.64,0.46308,0.43397,0.86695,1,0.98348,0.995,0.92769,0.4146,0.66337,0.74591,0.0016436,0.0016436,0.0016436
11,7122.66,0.44248,0.39047,0.8634,0.99779,1,0.995,0.93075,0.40718,0.41458,0.75243,0.001604,0.001604,0.001604
12,7523.58,0.45573,0.39183,0.86668,0.99713,1,0.995,0.95679,0.35237,0.35955,0.73407,0.0015644,0.0015644,0.0015644
13,7919.8,0.44479,0.38644,0.85911,0.99904,1,0.995,0.94043,0.38412,0.32215,0.73305,0.0015248,0.0015248,0.0015248
14,8303.63,0.42336,0.36847,0.85728,0.99056,0.99,0.9949,0.93262,0.36963,0.42376,0.73377,0.0014852,0.0014852,0.0014852
15,8694.71,0.43244,0.3679,0.86215,0.99784,1,0.995,0.95276,0.30895,0.40431,0.71548,0.0014456,0.0014456,0.0014456
16,9093.26,0.4002,0.34068,0.85125,0.99937,1,0.995,0.95186,0.34427,0.28467,0.71686,0.001406,0.001406,0.001406
17,9478.27,0.39776,0.34698,0.85437,0.99861,1,0.995,0.95452,0.32224,0.48796,0.72382,0.0013664,0.0013664,0.0013664
18,9867.92,0.38601,0.32503,0.84217,0.9989,1,0.995,0.94187,0.3466,0.29937,0.72384,0.0013268,0.0013268,0.0013268
19,10254,0.38571,0.32126,0.84848,0.99936,1,0.995,0.96143,0.27565,0.24413,0.71404,0.0012872,0.0012872,0.0012872
20,10641.4,0.37547,0.31841,0.84536,0.99896,1,0.995,0.97085,0.29708,0.31116,0.71016,0.0012476,0.0012476,0.0012476
21,11030.4,0.36059,0.30791,0.84146,0.99883,1,0.995,0.96932,0.3203,0.56063,0.71572,0.001208,0.001208,0.001208
22,11415.1,0.38086,0.31417,0.84642,0.99904,1,0.995,0.96324,0.31278,0.32875,0.72359,0.0011684,0.0011684,0.0011684
23,11802.3,0.37712,0.30843,0.84819,0.99917,1,0.995,0.96228,0.30169,0.29717,0.70873,0.0011288,0.0011288,0.0011288
24,12189.2,0.35762,0.29946,0.84079,0.99928,1,0.995,0.97605,0.27552,0.24916,0.70609,0.0010892,0.0010892,0.0010892
25,12573.5,0.34984,0.29603,0.8384,0.99926,1,0.995,0.97629,0.26917,0.22791,0.70449,0.0010496,0.0010496,0.0010496
26,12960.4,0.36113,0.30152,0.84928,0.9993,1,0.995,0.96546,0.27228,0.22222,0.71136,0.00101,0.00101,0.00101
27,13347.5,0.34821,0.27969,0.84034,0.99845,1,0.995,0.9623,0.29775,0.25389,0.7101,0.0009704,0.0009704,0.0009704
28,13737.5,0.34666,0.2811,0.83633,0.99909,1,0.995,0.96858,0.26738,0.29464,0.7078,0.0009308,0.0009308,0.0009308
29,14122.9,0.33415,0.28035,0.84041,0.99858,1,0.995,0.96859,0.27748,0.23967,0.70853,0.0008912,0.0008912,0.0008912
30,14509.7,0.3418,0.27859,0.85015,0.99922,1,0.995,0.96709,0.27087,0.21774,0.70861,0.0008516,0.0008516,0.0008516
31,14897.7,0.32927,0.26646,0.84697,0.99874,1,0.995,0.97933,0.26687,0.28296,0.70385,0.000812,0.000812,0.000812
32,15284.4,0.33138,0.27148,0.83434,0.99886,1,0.995,0.97177,0.26306,0.3123,0.70738,0.0007724,0.0007724,0.0007724
33,15671.6,0.32615,0.27378,0.83795,0.99941,1,0.995,0.97575,0.23564,0.19829,0.70257,0.0007328,0.0007328,0.0007328
34,16063.9,0.30902,0.25651,0.83594,0.99828,1,0.995,0.97815,0.23894,0.34659,0.70151,0.0006932,0.0006932,0.0006932
35,16456.9,0.30625,0.25085,0.83191,0.9994,1,0.995,0.97309,0.25707,0.20535,0.70586,0.0006536,0.0006536,0.0006536
36,16842.7,0.30669,0.24798,0.83194,0.99943,1,0.995,0.98126,0.23927,0.19367,0.70413,0.000614,0.000614,0.000614
37,17228.2,0.29453,0.24227,0.83114,0.99944,1,0.995,0.98502,0.24325,0.18762,0.70579,0.0005744,0.0005744,0.0005744
38,17614.8,0.2988,0.24314,0.82901,0.99913,1,0.995,0.97691,0.22901,0.20909,0.70386,0.0005348,0.0005348,0.0005348
39,18001.8,0.30266,0.23958,0.83398,0.9993,1,0.995,0.97362,0.24433,0.20339,0.70665,0.0004952,0.0004952,0.0004952
40,18390.5,0.28992,0.23081,0.82766,0.99934,1,0.995,0.98027,0.20878,0.16452,0.70004,0.0004556,0.0004556,0.0004556
41,18771.8,0.24879,0.20386,0.80992,0.99944,1,0.995,0.98305,0.23989,0.18307,0.70184,0.000416,0.000416,0.000416
42,19156,0.24715,0.1994,0.81427,0.99946,1,0.995,0.98436,0.23537,0.18373,0.70273,0.0003764,0.0003764,0.0003764
43,19538.4,0.24327,0.20069,0.81274,0.99946,1,0.995,0.98494,0.22736,0.16872,0.70148,0.0003368,0.0003368,0.0003368
44,19925.6,0.23483,0.18968,0.81077,0.99945,1,0.995,0.98634,0.21415,0.15864,0.70026,0.0002972,0.0002972,0.0002972
45,20307.3,0.23482,0.1881,0.81126,0.99945,1,0.995,0.98731,0.22638,0.16638,0.70198,0.0002576,0.0002576,0.0002576
46,20691.5,0.2221,0.18703,0.80687,0.99945,1,0.995,0.98754,0.20672,0.14827,0.69654,0.000218,0.000218,0.000218
47,21077.7,0.22131,0.17759,0.81121,0.99946,1,0.995,0.9862,0.20288,0.15524,0.69794,0.0001784,0.0001784,0.0001784
48,21460.4,0.21129,0.1752,0.81477,0.99945,1,0.995,0.99026,0.19692,0.14903,0.69551,0.0001388,0.0001388,0.0001388
49,21842.9,0.22073,0.17708,0.80954,0.99946,1,0.995,0.99125,0.19207,0.1449,0.69542,9.92e-05,9.92e-05,9.92e-05
50,22224.2,0.20929,0.16485,0.79736,0.99945,1,0.995,0.98935,0.20115,0.14759,0.69668,5.96e-05,5.96e-05,5.96e-05
